name,lat,lon
312-17,50.4467592,30.45714
307-30,50.4425848,30.4460375
313-17,50.4467592,30.45714
306-17,50.4467592,30.45714
505-30,50.4425848,30.4460375
403-30,50.4425848,30.4460375
408-17,50.4467592,30.45714
"212а-17",50.4467592,30.45714
321-17,50.4467592,30.45714
114-17,50.4467592,30.45714
427-17,50.4467592,30.45714
212-17,50.4467592,30.45714
210-17,50.4467592,30.45714
516-17,50.4467592,30.45714
328-17,50.4467592,30.45714
201-17,50.4467592,30.45714
156-16,50.447634," 30.457222"
519-17,50.4467592,30.45714
3-20,50.447054," 30.461190"
304-20,50.447054," 30.461190"
4-20,50.447054," 30.461190"
404-20,50.447054," 30.461190"
313-20,50.447054," 30.461190"
402-20,50.447054," 30.461190"
502-20,50.447054," 30.461190"
2-20,50.447054," 30.461190"
006-20,50.447054," 30.461190"
101-20,50.447054," 30.461190"
150-20,50.447054," 30.461190"
212-20,50.447054," 30.461190"
110-20,50.447054," 30.461190"
118-20,50.447054," 30.461190"
211-20,50.447054," 30.461190"
503-20,50.447054," 30.461190"
504-20,50.447054," 30.461190"
311-20,50.447054," 30.461190"
248-20,50.447054," 30.461190"
317-20,50.447054," 30.461190"
314-20,50.447054," 30.461190"
267-20,50.447054," 30.461190"
305-20,50.447054," 30.461190"
12-1-01,50.449306,30.460681
112-20,50.447054," 30.461190"
003-20,50.447054," 30.461190"
247-20,50.447054," 30.461190"
509-19,50.4480855,30.4585595
518-05,50.449142,30.4653065
309-20,50.447054," 30.461190"
115-20,50.447054," 30.461190"
505-20,50.447054," 30.461190"
306-20,50.447054," 30.461190"
329-20,50.447054," 30.461190"
303-20,50.447054," 30.461190"
119-20,50.447054," 30.461190"
122-20,50.447054," 30.461190"
220-20,50.447054," 30.461190"
219-20,50.447054," 30.461190"
202-20,50.447054," 30.461190"
312-20,50.447054," 30.461190"
506-20,50.447054," 30.461190"
407-20,50.447054," 30.461190"
017-20,50.447054," 30.461190"
412-20,50.447054," 30.461190"
413-20,50.447054," 30.461190"
414-20,50.447054," 30.461190"
007-20,50.447054," 30.461190"
015-20,50.447054," 30.461190"
520-20,50.447054," 30.461190"
406-20,50.447054," 30.461190"
