url_wiki,name
"http://wiki.kpi.ua/index.php/Системи штучного інтелекту_(20402040)","Системи штучного інтелекту"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації-1. Основи наукових досліджень_(20402040)","Наукова робота за темою магістерської дисертації-1. Основи наукових досліджень"
"http://wiki.kpi.ua/index.php/Технологія BigData_(20402040)","Технологія BigData"
"http://wiki.kpi.ua/index.php/Курсова робота з Дослідження і проектування комп'ютерних систем_(20402040)","КР з Дослідження і проектування КС"
"http://wiki.kpi.ua/index.php/Дослідження і проектування комп'ютерних мереж_(20402040)","Дослідження і проектування комп'ютерних мереж"
"http://wiki.kpi.ua/index.php/Системне програмне забезпечення_(20402040)","Системне програмне забезпечення"
"http://wiki.kpi.ua/index.php/Економіка та організація виробництва_(20402550)","Економіка та організація виробництва"
"http://wiki.kpi.ua/index.php/Технології проектування комп'ютерних систем-1. Основи автоматизованого проектування комп'ютерних систем_(20402040)","Техн. проект. комп. сист-1. Осн. автоматиз. проект. комп. систем"
"http://wiki.kpi.ua/index.php/БЖД та цивільний захист_(20402350)","БЖД та цивільний захист"
"http://wiki.kpi.ua/index.php/Комп'ютерні системи_(20402040)","Комп'ютерні системи"
"http://wiki.kpi.ua/index.php/Формування вмінь та навичок до здорового способу життя засобами та методами рухової активності_(20403570)","Формування вмінь та навичок до здорового способу життя"
"http://wiki.kpi.ua/index.php/Іноземна мова професійного спрямування. Практичний курс іноземної мови для професійного спрямування-ІІ_(20402830)","Іноземна мова професійного спрямування. Практичний курс іноземної мови для професійного спрямування-ІІ"
"http://wiki.kpi.ua/index.php/Комп'ютерні мережі-2. Глобальні комп'ютерні мережі_(20402040)","Комп'ютерні мережі-2"
"http://wiki.kpi.ua/index.php/Курсова робота з Системного програмного забезпечення_(20402040)","Курсова робота з сист. ПЗ"
"http://wiki.kpi.ua/index.php/Українська мова за професійним спрямуванням_(20102820)","Укр. мова"
"http://wiki.kpi.ua/index.php/Спеціальні розділи математики-2. Чисельні методи_(20102010)","Спец.розд.матем."
"http://wiki.kpi.ua/index.php/Фізика-2. Загальна фізика ІІ_(20103220)","Фізика-2"
"http://wiki.kpi.ua/index.php/Програмування - 2. Структури даних та алгоритми_(20102010)","Програмування - 2."
"http://wiki.kpi.ua/index.php/Вища математика - 2. Диференціальне та інтегральне числення функцій багатьох змінних_(20103240)","Вища мат.2"
"http://wiki.kpi.ua/index.php/Теорія алгоритмів_(20102010)","Теорія алгоритмів"
"http://wiki.kpi.ua/index.php/Практичний курс іноземної мови І_(20102880)","Іноз.мова 1"
"http://wiki.kpi.ua/index.php/Технології машинного навчання_(20102020)","Технології машинного навчання"
"http://wiki.kpi.ua/index.php/Моделі простору станів в сучасній теорії керування_(20102010)","Моделі простору станів в сучасній теорії керування"
"http://wiki.kpi.ua/index.php/Сучасні методи обробки масивів даних_(20102030)","Сучасні методи обробки масивів даних"
"http://wiki.kpi.ua/index.php/Теорія прийняття рішень_(20102030)","Теорія прийняття рішень"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-2. Патентознавство та набуття прав_(20101250)","Інт.власність 2"
"http://wiki.kpi.ua/index.php/Методологія бізнес аналізу_(20102020)","Методологія бізнес аналізу"
"http://wiki.kpi.ua/index.php/Методи та засоби управління інфраструктурою інформаційних технологій_(20102010)","Методи та засоби управління інфраструктурою інформаційних технологій"
"http://wiki.kpi.ua/index.php/Алгоритмічне та інформаційне забезпечення інформаційно-управляючих систем_(20102020)","Алгор. та інформ. забезпечення інформаційно-управляючих систем"
"http://wiki.kpi.ua/index.php/Прикладні задачі оптимального керування_(20102010)","Прикладні задачі оптимального керування"
"http://wiki.kpi.ua/index.php/Проектування ІТ-інфраструктури_(20102020)","Проектування ІТ-інфраструктури"
"http://wiki.kpi.ua/index.php/Проектування програмних засобів доповненої реальності_(20102020)","Проектування програмних засобів доповненої реальності"
"http://wiki.kpi.ua/index.php/Процеси підтримки виробництва програмних систем_(20102010)","Процеси підтримки виробництва програмних систем"
"http://wiki.kpi.ua/index.php/Сталий іноваційний розвиток_(20103710)","Сталий інов.розв."
"http://wiki.kpi.ua/index.php/Технології електронної комерції_(20102030)","Технології електронної комерції"
"http://wiki.kpi.ua/index.php/Практичний курс іншомовного наукового спілкування-1. Практиктичний курс іноземної мови для наукового спілкування І_(20102880)","Ін.мова наук-1"
"http://wiki.kpi.ua/index.php/Технології проектування інформаційно-керуючих систем_(20102010)","Технології проектування інформаційно-керуючих систем"
